Name = NACA 23114
Mach = 0; Re = 370000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.758	0.06991	0.008	0.905	0.009	1.000	0.023	-10.841	0.252	0.261
-9.5	-0.729	0.06560	0.008	0.894	0.009	1.000	0.025	-11.111	0.252	0.262
-9.0	-0.697	0.06167	0.008	0.883	0.009	1.000	0.027	-11.306	0.252	0.262
-8.5	-0.663	0.05808	0.008	0.871	0.010	1.000	0.029	-11.422	0.252	0.262
-8.0	-0.627	0.05466	0.008	0.855	0.010	1.000	0.030	-11.479	0.252	0.263
-7.5	-0.589	0.05148	0.008	0.837	0.011	1.000	0.033	-11.452	0.253	0.264
-7.0	-0.550	0.04858	0.008	0.815	0.012	1.000	0.035	-11.312	0.253	0.264
-6.5	-0.508	0.04580	0.008	0.790	0.012	1.000	0.039	-11.095	0.251	0.266
-6.0	-0.465	0.04313	0.008	0.760	0.013	1.000	0.045	-10.787	0.249	0.267
-5.5	-0.422	0.04040	0.008	0.727	0.014	1.000	0.058	-10.435	0.825	0.269
-5.0	-0.475	0.01498	0.014	0.690	0.015	1.000	1.000	-31.715	-0.404	0.279
-4.5	-0.414	0.01467	0.013	0.650	0.016	1.000	1.000	-28.205	0.259	0.282
-4.0	-0.352	0.01445	0.013	0.609	0.017	1.000	1.000	-24.399	0.259	0.286
-3.5	-0.291	0.01422	0.012	0.569	0.019	1.000	1.000	-20.471	0.260	0.291
-3.0	-0.230	0.01401	0.011	0.529	0.021	1.000	1.000	-16.392	0.260	0.299
-2.5	-0.168	0.01369	0.011	0.491	0.023	1.000	1.000	-12.289	0.260	0.314
-2.0	-0.107	0.01357	0.010	0.452	0.026	1.000	1.000	-7.864	0.261	0.344
-1.5	-0.045	0.01352	0.009	0.413	0.030	1.000	1.000	-3.345	0.261	0.457
-1.0	0.016	0.01356	0.009	0.371	0.034	1.000	1.000	1.199	0.261	-0.283
-0.5	0.078	0.01374	0.008	0.320	0.043	1.000	1.000	5.660	0.262	0.148
0.0	0.139	0.01165	0.007	0.219	0.717	1.000	1.000	11.959	0.262	0.198
0.5	0.201	0.01174	0.006	0.204	0.741	1.000	1.000	17.102	0.262	0.218
1.0	0.262	0.01177	0.006	0.197	0.762	1.000	1.000	22.288	0.263	0.228
1.5	0.324	0.01188	0.005	0.190	0.782	1.000	1.000	27.259	0.263	0.235
2.0	0.385	0.01201	0.004	0.184	0.799	1.000	1.000	32.059	0.263	0.239
2.5	0.447	0.01217	0.003	0.178	0.814	1.000	1.000	36.682	0.264	0.243
3.0	0.508	0.01245	0.002	0.172	0.828	1.000	1.000	40.802	0.264	0.245
3.5	0.569	0.01266	0.002	0.167	0.840	1.000	1.000	44.975	0.264	0.247
4.0	0.631	0.01281	0.001	0.161	0.853	1.000	1.000	49.236	0.264	0.249
4.5	0.692	0.01313	-0.000	0.156	0.863	1.000	1.000	52.682	0.265	0.250
5.0	0.752	0.01387	-0.001	0.151	0.873	0.989	1.000	54.184	0.265	0.251
5.5	0.812	0.01427	-0.002	0.147	0.881	0.984	1.000	56.877	0.266	0.252
6.0	0.872	0.01551	-0.003	0.141	0.890	0.978	1.000	56.202	0.266	0.253
6.5	0.931	0.01600	-0.004	0.136	0.897	0.970	1.000	58.164	0.266	0.254
7.0	0.990	0.01653	-0.005	0.131	0.905	0.960	1.000	59.883	0.267	0.255
7.5	1.047	0.01712	-0.006	0.126	0.911	0.948	1.000	61.166	0.267	0.256
8.0	1.104	0.01784	-0.007	0.120	0.918	0.932	1.000	61.898	0.267	0.256
8.5	1.159	0.01865	-0.008	0.115	0.924	0.911	1.000	62.146	0.268	0.257
9.0	1.212	0.01962	-0.009	0.110	0.929	0.886	1.000	61.809	0.268	0.257
9.5	1.263	0.02086	-0.010	0.104	0.934	0.854	1.000	60.579	0.285	0.258
10.0	1.267	0.02245	-0.011	0.098	0.939	0.816	1.000	56.426	0.296	0.258
10.5	1.304	0.02448	-0.012	0.093	0.944	0.773	1.000	53.252	0.276	0.259
11.0	1.336	0.02710	-0.012	0.087	0.948	0.725	1.000	49.295	0.278	0.259
11.5	1.364	0.03043	-0.013	0.080	0.952	0.674	1.000	44.838	0.280	0.260
12.0	1.390	0.03438	-0.014	0.074	0.957	0.623	1.000	40.434	0.284	0.260
12.5	1.411	0.03926	-0.015	0.066	0.961	0.572	1.000	35.945	0.289	0.261
13.0	1.429	0.04495	-0.016	0.058	0.965	0.522	1.000	31.788	0.294	0.261
13.5	1.444	0.05138	-0.016	0.049	0.968	0.474	1.000	28.105	0.300	0.261
14.0	1.456	0.05885	-0.017	0.038	0.972	0.429	1.000	24.745	0.309	0.262
14.5	1.466	0.06724	-0.018	0.027	0.976	0.385	1.000	21.797	0.318	0.262
15.0	1.474	0.07569	-0.018	0.018	0.980	0.350	1.000	19.479	0.327	0.262
15.5	1.482	0.08365	-0.019	0.013	0.985	0.322	1.000	17.721	0.360	0.263
16.0	1.487	0.09081	-0.020	0.011	1.000	0.302	1.000	16.372	0.546	0.263
16.5	1.487	0.09872	-0.020	0.008	1.000	0.283	1.000	15.064	-0.746	0.264
17.0	1.485	0.10616	-0.021	0.007	1.000	0.268	1.000	13.992	0.035	0.264
17.5	1.480	0.11380	-0.022	0.006	1.000	0.254	1.000	13.009	0.136	0.265
18.0	1.473	0.12170	-0.022	0.005	1.000	0.242	1.000	12.102	0.172	0.265
