Name = NACA 23114
Mach = 0; Re = 370000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.581	0.07789	0.003	0.937	0.003	0.983	0.005	-7.464	0.249	0.254
-9.5	-0.575	0.07317	0.003	0.934	0.003	0.984	0.006	-7.864	0.254	0.255
-9.0	-0.566	0.06749	0.003	0.929	0.003	0.984	0.006	-8.381	0.254	0.254
-8.5	-0.552	0.06241	0.003	0.924	0.004	0.985	0.006	-8.847	0.252	0.255
-8.0	-0.533	0.05792	0.002	0.920	0.004	0.985	0.006	-9.198	0.253	0.255
-7.5	-0.510	0.05405	0.002	0.913	0.004	0.986	0.006	-9.431	0.252	0.255
-7.0	-0.484	0.05019	0.002	0.906	0.004	0.986	0.007	-9.635	0.251	0.255
-6.5	-0.454	0.04690	0.002	0.897	0.004	0.988	0.007	-9.686	0.252	0.255
-6.0	-0.422	0.04382	0.002	0.888	0.004	0.989	0.008	-9.636	0.252	0.255
-5.5	-0.387	0.04145	0.002	0.876	0.005	0.990	0.008	-9.345	0.252	0.256
-5.0	-0.350	0.03892	0.002	0.862	0.005	0.991	0.009	-8.998	0.252	0.256
-4.5	-0.311	0.03672	0.002	0.846	0.005	0.992	0.009	-8.465	0.252	0.256
-4.0	-0.270	0.03490	0.002	0.826	0.006	0.993	0.010	-7.726	0.253	0.257
-3.5	-0.227	0.03327	0.002	0.802	0.007	0.994	0.010	-6.816	0.253	0.258
-3.0	-0.183	0.03217	0.002	0.774	0.007	0.994	0.011	-5.678	0.252	0.259
-2.5	-0.137	0.03108	0.002	0.738	0.008	0.995	0.013	-4.422	0.252	0.262
-2.0	-0.091	0.03017	0.001	0.697	0.008	0.995	0.015	-3.027	0.252	0.266
-1.5	-0.045	0.02951	0.001	0.648	0.009	0.995	0.018	-1.510	0.253	0.281
-1.0	0.003	0.02895	0.001	0.594	0.010	0.996	0.023	0.094	0.252	-0.211
-0.5	0.051	0.02837	0.001	0.537	0.012	0.996	0.035	1.781	0.245	0.227
0.0	0.122	0.01026	0.002	0.478	0.014	0.996	0.996	11.874	0.248	0.235
0.5	0.181	0.01046	0.001	0.419	0.017	0.996	0.997	17.313	0.258	0.242
1.0	0.240	0.01286	0.001	0.124	0.022	0.996	0.998	18.667	0.258	0.246
1.5	0.299	0.01289	0.000	0.117	0.032	0.996	0.998	23.209	0.258	0.248
2.0	0.358	0.00999	-0.000	0.111	0.859	0.996	0.995	35.840	0.258	0.250
2.5	0.417	0.01024	-0.001	0.107	0.873	0.996	0.995	40.672	0.259	0.251
3.0	0.475	0.01052	-0.001	0.103	0.884	0.996	0.995	45.182	0.259	0.252
3.5	0.534	0.01077	-0.002	0.099	0.895	0.996	0.995	49.528	0.259	0.253
4.0	0.592	0.01109	-0.002	0.096	0.905	0.996	0.995	53.377	0.259	0.254
4.5	0.650	0.01148	-0.003	0.092	0.913	0.996	0.996	56.612	0.260	0.254
5.0	0.707	0.01187	-0.003	0.088	0.921	0.996	0.997	59.600	0.260	0.255
5.5	0.764	0.01260	-0.004	0.085	0.929	0.996	1.000	60.654	0.260	0.255
6.0	0.821	0.01301	-0.004	0.082	0.936	0.995	1.000	63.113	0.261	0.255
6.5	0.877	0.01251	-0.005	0.079	0.942	0.993	1.000	70.111	0.261	0.256
7.0	0.932	0.01230	-0.006	0.075	0.947	0.989	1.000	75.737	0.261	0.256
7.5	0.986	0.01284	-0.006	0.071	0.953	0.983	1.000	76.763	0.262	0.256
8.0	1.038	0.01440	-0.007	0.068	0.958	0.974	1.000	72.058	0.262	0.257
8.5	1.087	0.01508	-0.007	0.065	0.963	0.960	1.000	72.074	0.263	0.257
9.0	1.129	0.01596	-0.008	0.061	0.968	0.937	1.000	70.770	0.265	0.257
9.5	1.166	0.01717	-0.009	0.057	0.973	0.899	1.000	67.893	0.268	0.257
10.0	1.190	0.01909	-0.009	0.053	0.978	0.834	1.000	62.351	0.277	0.258
10.5	1.200	0.02278	-0.010	0.048	0.986	0.732	1.000	52.694	0.344	0.258
11.0	1.197	0.02949	-0.010	0.042	1.000	0.599	1.000	40.609	0.220	0.258
11.5	1.188	0.03950	-0.010	0.036	1.000	0.463	1.000	30.076	0.241	0.258
12.0	1.179	0.05138	-0.010	0.025	1.000	0.351	1.000	22.951	0.255	0.258
12.5	1.166	0.06748	-0.010	0.004	1.000	0.242	1.000	17.285	0.240	0.258
13.0	1.169	0.07550	-0.010	0.003	1.000	0.209	1.000	15.490	0.376	0.259
13.5	1.171	0.08321	-0.010	0.002	1.000	0.185	1.000	14.069	0.109	0.259
14.0	1.165	0.09091	-0.011	0.001	1.000	0.167	1.000	12.816	0.210	0.259
14.5	1.154	0.09844	-0.011	0.001	1.000	0.153	1.000	11.726	0.222	0.260
15.0	1.139	0.10600	-0.011	0.000	1.000	0.142	1.000	10.749	0.229	0.260
15.5	1.120	0.11408	-0.012	0.000	1.000	0.131	1.000	9.822	0.232	0.260
16.0	1.098	0.12226	-0.012	0.000	1.000	0.124	1.000	8.984	0.234	0.261
16.5	1.073	0.13075	-0.013	-0.000	1.000	0.116	1.000	8.204	0.237	0.262
17.0	1.044	0.14059	-0.013	-0.000	1.000	0.108	1.000	7.425	0.239	0.262
17.5	1.013	0.15052	-0.013	-0.000	1.000	0.099	1.000	6.728	0.242	0.263
18.0	0.979	0.16145	-0.013	-0.000	1.000	0.088	1.000	6.063	0.248	0.264
18.5	0.943	0.17448	-0.013	-0.000	1.000	0.072	1.000	5.403	0.259	0.264
19.0	0.904	0.18943	-0.013	-0.001	1.000	0.046	1.000	4.771	0.277	0.264
19.5	0.864	0.20243	-0.011	-0.001	1.000	0.021	1.000	4.270	0.282	0.263
20.0	0.829	0.21348	-0.010	-0.001	1.000	0.012	1.000	3.882	0.276	0.262

