Name = NACA 23114
Mach = 0; Re = 550000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.582	0.07456	0.004	0.944	0.003	0.987	0.008	-7.802	0.253	0.257
-9.5	-0.573	0.06944	0.004	0.939	0.004	0.988	0.008	-8.245	0.252	0.257
-9.0	-0.560	0.06452	0.004	0.935	0.004	0.988	0.009	-8.681	0.249	0.257
-8.5	-0.544	0.06013	0.004	0.928	0.004	0.989	0.010	-9.054	0.251	0.257
-8.0	-0.525	0.05597	0.004	0.922	0.004	0.990	0.010	-9.383	0.252	0.257
-7.5	-0.503	0.05208	0.004	0.913	0.004	0.991	0.010	-9.652	0.250	0.258
-7.0	-0.477	0.04877	0.004	0.902	0.005	0.992	0.011	-9.779	0.250	0.258
-6.5	-0.448	0.04588	0.004	0.891	0.005	0.993	0.012	-9.766	0.252	0.259
-6.0	-0.416	0.04285	0.004	0.875	0.005	0.994	0.012	-9.711	0.252	0.259
-5.5	-0.381	0.04045	0.004	0.856	0.006	0.994	0.012	-9.427	0.252	0.260
-5.0	-0.344	0.03820	0.004	0.833	0.006	0.995	0.014	-9.012	0.251	0.261
-4.5	-0.305	0.03609	0.004	0.804	0.007	0.995	0.016	-8.452	0.251	0.262
-4.0	-0.264	0.03434	0.004	0.770	0.007	0.996	0.017	-7.682	0.250	0.264
-3.5	-0.221	0.03274	0.004	0.728	0.007	0.996	0.021	-6.752	0.250	0.266
-3.0	-0.177	0.03135	0.004	0.683	0.008	0.997	0.026	-5.639	0.249	0.270
-2.5	-0.132	0.02978	0.004	0.633	0.009	0.997	0.039	-4.424	0.205	0.279
-2.0	-0.105	0.00967	0.007	0.575	0.010	0.997	0.996	-10.894	0.218	0.315
-1.5	-0.047	0.01022	0.006	0.515	0.012	0.997	0.996	-4.597	0.257	0.387
-1.0	0.012	0.01042	0.006	0.451	0.014	0.997	0.997	1.136	0.257	-0.259
-0.5	0.071	0.01095	0.006	0.221	0.016	0.997	0.997	6.488	0.257	0.171
0.0	0.130	0.01233	0.005	0.204	0.020	0.997	0.997	10.581	0.257	0.210
0.5	0.190	0.01226	0.005	0.196	0.024	0.997	0.997	15.475	0.258	0.225
1.0	0.249	0.01227	0.004	0.189	0.032	0.997	0.998	20.284	0.258	0.233
1.5	0.308	0.00909	0.004	0.182	0.854	0.998	0.996	33.870	0.258	0.238
2.0	0.367	0.00928	0.003	0.176	0.867	0.998	0.996	39.526	0.259	0.241
2.5	0.426	0.00952	0.003	0.171	0.878	0.997	0.996	44.744	0.259	0.244
3.0	0.485	0.00968	0.002	0.165	0.889	0.997	0.996	50.061	0.259	0.245
3.5	0.543	0.00994	0.002	0.159	0.898	0.997	0.996	54.628	0.260	0.247
4.0	0.602	0.01024	0.001	0.154	0.907	0.997	0.997	58.734	0.260	0.248
4.5	0.660	0.01054	0.000	0.149	0.914	0.997	0.997	62.612	0.260	0.249
5.0	0.718	0.01087	-0.000	0.143	0.921	0.998	0.997	66.027	0.261	0.250
5.5	0.775	0.01058	-0.001	0.137	0.927	0.997	0.999	73.316	0.261	0.251
6.0	0.833	0.01109	-0.001	0.132	0.934	0.996	1.000	75.064	0.261	0.252
6.5	0.889	0.01150	-0.002	0.127	0.939	0.995	1.000	77.357	0.262	0.252
7.0	0.946	0.01127	-0.003	0.121	0.944	0.993	1.000	83.887	0.262	0.253
7.5	1.000	0.01164	-0.003	0.115	0.948	0.990	1.000	85.939	0.263	0.253
8.0	1.052	0.01150	-0.004	0.110	0.953	0.984	1.000	91.476	0.264	0.254
8.5	1.101	0.01303	-0.005	0.103	0.958	0.976	1.000	84.460	0.265	0.254
9.0	1.146	0.01372	-0.005	0.096	0.961	0.962	1.000	83.548	0.267	0.255
9.5	1.186	0.01458	-0.006	0.088	0.965	0.941	1.000	81.339	0.269	0.255
10.0	1.218	0.01574	-0.007	0.080	0.969	0.907	1.000	77.400	0.274	0.256
10.5	1.241	0.01757	-0.007	0.070	0.972	0.853	1.000	70.649	0.187	0.256
11.0	1.205	0.03072	-0.008	0.010	0.976	0.589	1.000	39.226	0.230	0.256
11.5	1.210	0.03759	-0.008	0.005	0.980	0.506	1.000	32.197	0.330	0.257
12.0	1.217	0.04396	-0.009	0.004	0.985	0.448	1.000	27.688	0.334	0.257
12.5	1.222	0.05049	-0.009	0.003	1.000	0.400	1.000	24.201	0.389	0.257
13.0	1.224	0.05737	-0.010	0.002	1.000	0.359	1.000	21.334	-0.186	0.258
13.5	1.220	0.06424	-0.010	0.001	1.000	0.325	1.000	18.985	0.178	0.258
14.0	1.210	0.07116	-0.011	0.001	1.000	0.297	1.000	17.010	0.206	0.259
14.5	1.197	0.07839	-0.011	0.001	1.000	0.273	1.000	15.273	0.217	0.259
15.0	1.180	0.08550	-0.012	0.001	1.000	0.253	1.000	13.805	0.224	0.260
15.5	1.159	0.09343	-0.012	0.001	1.000	0.233	1.000	12.408	0.228	0.260
16.0	1.135	0.10104	-0.013	0.000	1.000	0.218	1.000	11.238	0.231	0.261
16.5	1.108	0.10930	-0.013	0.000	1.000	0.202	1.000	10.137	0.234	0.262
17.0	1.078	0.11805	-0.013	0.000	1.000	0.186	1.000	9.130	0.237	0.262
17.5	1.045	0.12800	-0.014	0.000	1.000	0.169	1.000	8.161	0.243	0.263
18.0	1.007	0.14147	-0.014	-0.000	1.000	0.139	1.000	7.115	0.250	0.264
18.5	0.967	0.15556	-0.014	-0.000	1.000	0.107	1.000	6.215	0.265	0.264
19.0	0.922	0.17384	-0.013	-0.000	1.000	0.056	1.000	5.304	0.284	0.264
19.5	0.881	0.18796	-0.011	-0.000	1.000	0.022	1.000	4.688	0.275	0.262
20.0	0.847	0.19942	-0.011	-0.000	1.000	0.017	1.000	4.246	0.255	0.263

