polar,run,config,AoA,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,Y/s,cl
1,1,outboard-up,0.00,39.99,1.2236,291.74,102466.9,0.00,Inf,0.7210,0.1792
1,2,outboard-up,0.00,40.00,1.2194,293.19,102627.3,0.00,Inf,0.6657,0.1978
1,3,outboard-up,0.00,39.99,1.2226,293.78,103099.5,0.00,Inf,0.6105,0.2192
1,4,outboard-up,0.00,40.00,1.2194,293.28,102659.2,0.00,Inf,0.5552,0.2217
1,5,outboard-up,0.00,39.99,1.2216,292.05,102409.0,0.00,Inf,0.5000,0.2270
1,6,outboard-up,0.00,39.99,1.2145,293.65,102375.5,0.00,Inf,0.4448,0.2280
1,7,outboard-up,0.00,40.00,1.2232,293.86,103177.0,0.00,Inf,0.3080,0.2295
1,8,outboard-up,0.00,39.99,1.2147,293.68,102396.5,0.00,Inf,0.1713,0.1981
2,1,outboard-up,0.00,39.99,1.2154,294.09,102605.7,169.46,0.9957,0.7210,0.1786
2,2,outboard-up,0.00,40.00,1.2160,293.84,102566.0,169.51,0.9956,0.6657,0.2007
2,3,outboard-up,0.00,40.00,1.2212,294.02,103067.9,169.61,0.9950,0.6105,0.2148
2,4,outboard-up,0.00,40.00,1.2245,292.72,102888.3,169.46,0.9959,0.5552,0.2233
2,5,outboard-up,0.00,39.99,1.2208,292.16,102380.8,169.47,0.9956,0.5000,0.2253
2,6,outboard-up,0.00,39.99,1.2161,293.16,102331.9,169.45,0.9957,0.4448,0.2221
2,7,outboard-up,0.00,39.99,1.2313,291.81,103134.8,169.46,0.9958,0.3080,0.2256
2,8,outboard-up,0.00,39.99,1.2145,293.78,102417.7,169.41,0.9960,0.1713,0.1940
3,1,outboard-up,0.00,39.99,1.2144,294.30,102593.6,188.07,0.8971,0.7210,0.1544
3,2,outboard-up,0.00,39.98,1.2156,293.97,102574.5,188.31,0.8959,0.6657,0.1820
3,3,outboard-up,0.00,39.99,1.2213,294.04,103081.0,188.43,0.8955,0.6105,0.1970
3,4,outboard-up,0.00,39.98,1.2227,293.03,102846.4,188.41,0.8954,0.5552,0.2190
3,5,outboard-up,0.00,39.99,1.2221,291.85,102384.7,188.25,0.8963,0.5000,0.2140
3,6,outboard-up,0.00,39.99,1.2154,293.28,102319.9,188.18,0.8966,0.4448,0.2119
3,7,outboard-up,0.00,39.99,1.2342,291.09,103131.3,188.24,0.8965,0.3080,0.2147
3,8,outboard-up,0.00,40.00,1.2147,293.72,102413.1,188.24,0.8965,0.1713,0.1847
4,1,outboard-up,0.00,39.99,1.2145,294.28,102589.1,211.81,0.7966,0.7210,0.1204
4,2,outboard-up,0.00,39.99,1.2151,294.09,102575.6,211.97,0.7961,0.6657,0.1582
4,3,outboard-up,0.00,40.00,1.2212,293.99,103060.6,212.00,0.7961,0.6105,0.1808
4,4,outboard-up,0.00,39.98,1.2231,292.95,102853.9,211.93,0.7960,0.5552,0.2287
4,5,outboard-up,0.00,39.99,1.2199,292.35,102367.6,211.88,0.7963,0.5000,0.2087
4,6,outboard-up,0.00,39.98,1.2156,293.23,102322.0,211.86,0.7963,0.4448,0.2033
4,7,outboard-up,0.00,39.99,1.2303,292.01,103124.2,211.95,0.7961,0.3080,0.2073
4,8,outboard-up,0.00,39.99,1.2139,293.88,102403.6,211.79,0.7967,0.1713,0.1783
5,1,outboard-up,0.00,39.99,1.2147,294.23,102588.3,241.90,0.6975,0.7210,0.0802
5,2,outboard-up,0.00,39.98,1.2152,294.04,102570.8,242.10,0.6969,0.6657,0.1276
5,3,outboard-up,0.00,39.99,1.2213,293.92,103043.9,242.05,0.6971,0.6105,0.1648
5,4,outboard-up,0.00,39.99,1.2235,292.87,102859.7,242.05,0.6971,0.5552,0.2439
5,5,outboard-up,0.00,39.98,1.2193,292.46,102361.7,242.00,0.6972,0.5000,0.2045
5,6,outboard-up,0.00,39.98,1.2151,293.33,102308.4,242.11,0.6968,0.4448,0.1951
5,7,outboard-up,0.00,39.99,1.2296,292.16,103114.7,242.29,0.6964,0.3080,0.1987
5,8,outboard-up,0.00,40.00,1.2142,293.82,102404.8,242.05,0.6972,0.1713,0.1708
