   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.750     0.000  -0.074358   0.000309   0.013831   0.014140   0.000000   0.000000  -0.021097   0.000000   0.000000   14.0000     0.2330
   -3.500     0.000  -0.056578   0.000190   0.013704   0.013894   0.000000  -0.000000  -0.019150   0.000000  -0.000000   14.0000     0.1948
   -3.250     0.000  -0.038960   0.000098   0.013588   0.013686   0.000000  -0.000000  -0.017384   0.000000   0.000000   14.0000     0.1228
   -3.000     0.000  -0.022192   0.000039   0.013422   0.013461   0.000000  -0.000000  -0.015324   0.000000  -0.000000   14.0000    -0.0115
   -2.750     0.000  -0.007258   0.000018   0.013210   0.013227   0.000000   0.000000  -0.013022  -0.000000   0.000000   14.0000    -0.1396
   -2.500     0.000   0.010018   0.000024   0.013058   0.013082   0.000000  -0.000000  -0.011121   0.000000  -0.000000   14.0000     0.8231
   -2.250     0.000   0.023438   0.000065   0.012824   0.012888   0.000000  -0.000000  -0.008559   0.000000  -0.000000   14.0000     0.7289
   -2.000     0.000   0.035400   0.000124   0.012551   0.012675   0.000000  -0.000000  -0.006136   0.000000   0.000000   14.0000     0.5449
   -1.750     0.000   0.048286   0.000185   0.012254   0.012439   0.000000  -0.000000  -0.004190   0.000000   0.000000   14.0000     0.4889
   -1.500     0.000   0.063933   0.000274   0.012107   0.012381   0.000000  -0.000000  -0.002488   0.000000   0.000000   14.0000     0.4524
   -1.000     0.000   0.089530   0.000480   0.011709   0.012189   0.000000  -0.000000   0.002443   0.000000   0.000000   14.0000     0.4066
   -0.750     0.000   0.110098   0.000658   0.011759   0.012417   0.000000  -0.000000   0.003647  -0.000000   0.000000   14.0000     0.4012
   -0.500     0.000   0.131605   0.000900   0.011870   0.012770   0.000000  -0.000000   0.004472   0.000000   0.000000   14.0000     0.3992
   -0.250     0.000   0.152107   0.001169   0.011981   0.013150   0.000000  -0.000000   0.005613   0.000000  -0.000000   14.0000     0.3965
    0.000     0.000   0.175228   0.001507   0.012133   0.013640   0.000000  -0.000000   0.006206  -0.000000  -0.000000   14.0000     0.3964
    0.250     0.000   0.197684   0.001885   0.012297   0.014182   0.000000  -0.000000   0.006991  -0.000000  -0.000000   14.0000     0.3958
    0.500     0.000   0.220675   0.002328   0.012460   0.014789   0.000000  -0.000000   0.007597  -0.000000  -0.000000   14.0000     0.3958
    0.750     0.000   0.243357   0.002826   0.012665   0.015490   0.000000  -0.000000   0.008205  -0.000000  -0.000000   14.0000     0.3958
    1.000     0.000   0.268697   0.003406   0.012851   0.016258   0.000000   0.000000   0.008394  -0.000000  -0.000000   14.0000     0.3968
    1.250     0.000   0.291172   0.004012   0.013070   0.017082   0.000000   0.000000   0.009255  -0.000000  -0.000000   14.0000     0.3962
    1.750     0.000   0.331529   0.005437   0.013717   0.019154   0.000000  -0.000000   0.013460  -0.000000  -0.000000   14.0000     0.3908
    2.000     0.000   0.354856   0.006224   0.013893   0.020117   0.000000  -0.000000   0.014352  -0.000000   0.000000   14.0000     0.3906
    2.250     0.000   0.378729   0.007105   0.014099   0.021203   0.000000  -0.000000   0.015004  -0.000000   0.000000   14.0000     0.3908
    2.500     0.000   0.403782   0.008029   0.014308   0.022337   0.000000  -0.000000   0.015427  -0.000000  -0.000000   14.0000     0.3914
    2.750     0.000   0.427311   0.008948   0.014511   0.023459   0.000000  -0.000000   0.016132  -0.000000  -0.000000   14.0000     0.3915
    3.000     0.000   0.450796   0.010016   0.014723   0.024738   0.000000  -0.000000   0.016877  -0.000000  -0.000000   14.0000     0.3915
    3.250     0.000   0.474171   0.011059   0.014929   0.025988   0.000000  -0.000000   0.017684  -0.000000  -0.000000   14.0000     0.3915
    3.500     0.000   0.495497   0.012145   0.015078   0.027224   0.000000  -0.000000   0.018816  -0.000000  -0.000000   14.0000     0.3909
    3.750     0.000   0.521212   0.013413   0.015262   0.028675   0.000000  -0.000000   0.019114  -0.000000  -0.000000   14.0000     0.3914
    4.000     0.000   0.546855   0.014752   0.015468   0.030220   0.000000  -0.000000   0.019368  -0.000000  -0.000000   14.0000     0.3920
    4.250     0.000   0.571419   0.016218   0.015646   0.031864   0.000000  -0.000000   0.020011  -0.000000  -0.000000   14.0000     0.3921
    4.500     0.000   0.594567   0.017539   0.015843   0.033382   0.000000  -0.000000   0.020942  -0.000000  -0.000000   14.0000     0.3919
    4.750     0.000   0.613753   0.018686   0.016015   0.034701   0.000000  -0.000000   0.022406  -0.000000  -0.000000   14.0000     0.3911
    5.000     0.000   0.634803   0.020096   0.016136   0.036232   0.000000  -0.000000   0.023544  -0.000000  -0.000000   14.0000     0.3906
    5.250     0.000   0.655798   0.021616   0.016422   0.038039   0.000000   0.000000   0.025406  -0.000000  -0.000000   14.0000     0.3895
    5.500     0.000   0.680090   0.023169   0.016577   0.039745   0.000000  -0.000000   0.025780  -0.000000  -0.000000   14.0000     0.3899
    5.750     0.000   0.701046   0.024791   0.016734   0.041525   0.000000   0.000000   0.026970  -0.000000  -0.000000   14.0000     0.3894
    6.500     0.000   0.750397   0.030312   0.018859   0.049171   0.000000  -0.000000   0.036927  -0.000000   0.000000   14.0000     0.3829
    6.750     0.000   0.771000   0.031904   0.019041   0.050946   0.000000  -0.000000   0.038238  -0.000000   0.000000   14.0000     0.3826
    7.000     0.000   0.790386   0.033812   0.019235   0.053047   0.000000  -0.000000   0.039859  -0.000000   0.000000   14.0000     0.3819
    7.250     0.000   0.810834   0.035450   0.019408   0.054859   0.000000  -0.000000   0.041030  -0.000000   0.000000   14.0000     0.3817
    7.500     0.000   0.832742   0.037394   0.019593   0.056987   0.000000  -0.000000   0.041919  -0.000000   0.000000   14.0000     0.3817
    7.750     0.000   0.854533   0.039473   0.019797   0.059270   0.000000  -0.000000   0.042768  -0.000000   0.000000   14.0000     0.3817
    8.000     0.000   0.874821   0.041533   0.020043   0.061576   0.000000  -0.000000   0.044218  -0.000000  -0.000000   14.0000     0.3813
