   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.750     0.000  -0.364044   0.006482   0.010451   0.016932   0.000000   0.000000  -0.036758   0.000000   0.000000   28.0000     0.1183
   -4.500     0.000  -0.343349   0.005770   0.010189   0.015959   0.000000   0.000000  -0.033942   0.000000  -0.000000   28.0000     0.1193
   -4.250     0.000  -0.322546   0.005098   0.009964   0.015062   0.000000   0.000000  -0.031143   0.000000  -0.000000   28.0000     0.1203
   -4.000     0.000  -0.301804   0.004465   0.009713   0.014178   0.000000   0.000000  -0.028366   0.000000   0.000000   28.0000     0.1214
   -3.750     0.000  -0.280999   0.003875   0.009453   0.013328   0.000000   0.000000  -0.025584   0.000000   0.000000   28.0000     0.1227
   -3.500     0.000  -0.260482   0.003333   0.009079   0.012412   0.000000   0.000000  -0.022801   0.000000   0.000000   28.0000     0.1243
   -3.250     0.000  -0.240435   0.002841   0.008545   0.011386   0.000000   0.000000  -0.020039   0.000000   0.000000   28.0000     0.1261
   -3.000     0.000  -0.219747   0.002375   0.008344   0.010718   0.000000   0.000000  -0.017319   0.000000   0.000000   28.0000     0.1281
   -2.750     0.000  -0.199032   0.001951   0.008167   0.010119   0.000000   0.000000  -0.014596   0.000000   0.000000   28.0000     0.1306
   -2.500     0.000  -0.178455   0.001571   0.007968   0.009539   0.000000   0.000000  -0.011893   0.000000   0.000000   28.0000     0.1335
   -2.250     0.000  -0.157839   0.001231   0.007761   0.008993   0.000000   0.000000  -0.009190   0.000000   0.000000   28.0000     0.1372
   -2.000     0.000  -0.137102   0.000932   0.007561   0.008492   0.000000   0.000000  -0.006475   0.000000   0.000000   28.0000     0.1420
   -1.750     0.000  -0.116395   0.000674   0.007355   0.008030   0.000000   0.000000  -0.003749   0.000000   0.000000   28.0000     0.1488
   -1.500     0.000  -0.095859   0.000460   0.007137   0.007597   0.000000   0.000000  -0.001013   0.000000   0.000000   28.0000     0.1584
   -1.250     0.000  -0.075459   0.000288   0.006913   0.007201   0.000000   0.000000   0.001746   0.000000   0.000000   28.0000     0.1739
   -1.000     0.000  -0.055258   0.000156   0.006705   0.006862   0.000000   0.000000   0.004515   0.000000   0.000000   28.0000     0.2009
   -0.750     0.000  -0.035098   0.000065   0.006493   0.006558   0.000000   0.000000   0.007332   0.000000   0.000000   28.0000     0.2677
   -0.500     0.000  -0.015217   0.000013   0.006259   0.006273   0.000000   0.000000   0.010204   0.000000   0.000000   28.0000     0.0822
   -0.250     0.000   0.004405   0.000000   0.005995   0.005995   0.000000  -0.000000   0.013183   0.000000   0.000000   28.0000    -0.9727
    0.000     0.000   0.023190   0.000023   0.005730   0.005753   0.000000  -0.000000   0.016366   0.000000   0.000000   28.0000    -0.2975
    0.250     0.000   0.042758   0.000083   0.005508   0.005591   0.000000  -0.000000   0.019590   0.000000   0.000000   28.0000    -0.0531
    0.500     0.000   0.068643   0.000215   0.005404   0.005619   0.000000  -0.000000   0.021921   0.000000   0.000000   28.0000     0.0121
    0.750     0.000   0.099704   0.000457   0.005407   0.005864   0.000000  -0.000000   0.023358   0.000000   0.000000   28.0000     0.0580
    1.000     0.000   0.127963   0.000758   0.005428   0.006186   0.000000  -0.000000   0.025076   0.000000   0.000000   28.0000     0.0765
    1.250     0.000   0.155712   0.001130   0.005468   0.006598   0.000000  -0.000000   0.026768   0.000000   0.000000   28.0000     0.0873
    1.500     0.000   0.181468   0.001544   0.005505   0.007049   0.000000  -0.000000   0.028718   0.000000   0.000000   28.0000     0.0937
    1.750     0.000   0.204448   0.001975   0.005536   0.007511   0.000000  -0.000000   0.031031   0.000000  -0.000000   28.0000     0.0967
    2.000     0.000   0.225992   0.002426   0.005578   0.008004   0.000000  -0.000000   0.033564   0.000000   0.000000   28.0000     0.0981
    2.250     0.000   0.247196   0.002912   0.005638   0.008551   0.000000  -0.000000   0.036152   0.000000   0.000000   28.0000     0.0990
    2.500     0.000   0.268077   0.003434   0.005688   0.009122   0.000000  -0.000000   0.038806   0.000000   0.000000   28.0000     0.0996
    2.750     0.000   0.288917   0.003997   0.005742   0.009739   0.000000  -0.000000   0.041463   0.000000   0.000000   28.0000     0.1001
    3.000     0.000   0.309718   0.004600   0.005816   0.010416   0.000000  -0.000000   0.044118   0.000000   0.000000   28.0000     0.1006
    3.250     0.000   0.330511   0.005246   0.005890   0.011135   0.000000  -0.000000   0.046774   0.000000   0.000000   28.0000     0.1009
    3.500     0.000   0.351232   0.005930   0.005953   0.011883   0.000000  -0.000000   0.049460   0.000000   0.000000   28.0000     0.1012
    3.750     0.000   0.371947   0.006655   0.006029   0.012684   0.000000  -0.000000   0.052138   0.000000   0.000000   28.0000     0.1014
    4.000     0.000   0.392673   0.007422   0.006122   0.013544   0.000000  -0.000000   0.054800   0.000000   0.000000   28.0000     0.1016
    4.250     0.000   0.413348   0.008228   0.006206   0.014434   0.000000  -0.000000   0.057479   0.000000   0.000000   28.0000     0.1018
    4.500     0.000   0.434025   0.009076   0.006307   0.015382   0.000000  -0.000000   0.060140   0.000000   0.000000   28.0000     0.1019
    4.750     0.000   0.454704   0.009965   0.006413   0.016379   0.000000  -0.000000   0.062793   0.000000   0.000000   28.0000     0.1021
    5.000     0.000   0.475363   0.010896   0.006510   0.017406   0.000000  -0.000000   0.065455   0.000000  -0.000000   28.0000     0.1022
    5.250     0.000   0.496009   0.011867   0.006619   0.018486   0.000000  -0.000000   0.068103   0.000000   0.000000   28.0000     0.1023
    5.500     0.000   0.516643   0.012879   0.006734   0.019614   0.000000  -0.000000   0.070745   0.000000   0.000000   28.0000     0.1024
    5.750     0.000   0.537251   0.013932   0.006847   0.020779   0.000000  -0.000000   0.073386  -0.000000  -0.000000   28.0000     0.1024
    6.000     0.000   0.557840   0.015025   0.006988   0.022013   0.000000  -0.000000   0.075997   0.000000  -0.000000   28.0000     0.1025
    6.250     0.000   0.578411   0.016158   0.007120   0.023278   0.000000  -0.000000   0.078617   0.000000   0.000000   28.0000     0.1026
    6.500     0.000   0.598955   0.017331   0.007257   0.024588   0.000000  -0.000000   0.081229   0.000000   0.000000   28.0000     0.1026
    6.750     0.000   0.619457   0.018543   0.007412   0.025955   0.000000  -0.000000   0.083827   0.000000   0.000000   28.0000     0.1027
    7.000     0.000   0.639952   0.019795   0.007564   0.027359   0.000000  -0.000000   0.086427   0.000000   0.000000   28.0000     0.1027
    7.250     0.000   0.660394   0.021085   0.007736   0.028821   0.000000  -0.000000   0.089006   0.000000  -0.000000   28.0000     0.1027
    7.500     0.000   0.680818   0.022414   0.007896   0.030311   0.000000  -0.000000   0.091595   0.000000   0.000000   28.0000     0.1027
    7.750     0.000   0.701150   0.023779   0.008101   0.031880   0.000000  -0.000000   0.094139   0.000000   0.000000   28.0000     0.1027
    8.000     0.000   0.721404   0.025174   0.008337   0.033511   0.000000  -0.000000   0.096661   0.000000  -0.000000   28.0000     0.1028
    8.250     0.000   0.741539   0.026613   0.008579   0.035192   0.000000  -0.000000   0.099167   0.000000   0.000000   28.0000     0.1028
    8.500     0.000   0.761766   0.028090   0.008800   0.036891   0.000000  -0.000000   0.101701   0.000000   0.000000   28.0000     0.1028
    8.750     0.000   0.781792   0.029596   0.009069   0.038666   0.000000  -0.000000   0.104189   0.000000   0.000000   28.0000     0.1027
    9.000     0.000   0.801612   0.031122   0.009406   0.040529   0.000000  -0.000000   0.106625   0.000000   0.000000   28.0000     0.1028
