   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.416865   0.007733   0.012259   0.019992   0.000000  -0.000000  -0.005612  -0.000000  -0.000000   28.0000     0.2132
   -4.750     0.000  -0.395761   0.006973   0.011963   0.018936   0.000000  -0.000000  -0.004669  -0.000000  -0.000000   28.0000     0.2138
   -4.500     0.000  -0.374639   0.006251   0.011686   0.017937   0.000000  -0.000000  -0.003726  -0.000000  -0.000000   28.0000     0.2146
   -4.250     0.000  -0.353501   0.005568   0.011432   0.016999   0.000000  -0.000000  -0.002783  -0.000000  -0.000000   28.0000     0.2154
   -4.000     0.000  -0.332348   0.004924   0.011188   0.016112   0.000000  -0.000000  -0.001840  -0.000000  -0.000000   28.0000     0.2164
   -3.750     0.000  -0.311180   0.004319   0.010923   0.015242   0.000000  -0.000000  -0.000896  -0.000000  -0.000000   28.0000     0.2175
   -3.500     0.000  -0.289999   0.003753   0.010616   0.014369   0.000000  -0.000000   0.000051  -0.000000  -0.000000   28.0000     0.2187
   -3.250     0.000  -0.268804   0.003227   0.010137   0.013364   0.000000  -0.000000   0.001004  -0.000000  -0.000000   28.0000     0.2202
   -3.000     0.000  -0.247598   0.002740   0.009786   0.012526   0.000000  -0.000000   0.001948  -0.000000  -0.000000   28.0000     0.2219
   -2.750     0.000  -0.226381   0.002293   0.009604   0.011897   0.000000  -0.000000   0.002883  -0.000000  -0.000000   28.0000     0.2240
   -2.500     0.000  -0.205155   0.001886   0.009416   0.011302   0.000000  -0.000000   0.003818  -0.000000  -0.000000   28.0000     0.2264
   -2.250     0.000  -0.183919   0.001518   0.009205   0.010723   0.000000  -0.000000   0.004754  -0.000000  -0.000000   28.0000     0.2295
   -2.000     0.000  -0.162675   0.001190   0.009004   0.010195   0.000000  -0.000000   0.005689  -0.000000  -0.000000   28.0000     0.2333
   -1.750     0.000  -0.141423   0.000902   0.008806   0.009708   0.000000  -0.000000   0.006623  -0.000000  -0.000000   28.0000     0.2384
   -1.500     0.000  -0.120166   0.000654   0.008598   0.009252   0.000000  -0.000000   0.007555  -0.000000  -0.000000   28.0000     0.2452
   -1.250     0.000  -0.098903   0.000446   0.008378   0.008824   0.000000  -0.000000   0.008484  -0.000000  -0.000000   28.0000     0.2549
   -1.000     0.000  -0.077636   0.000278   0.008154   0.008432   0.000000  -0.000000   0.009412  -0.000000  -0.000000   28.0000     0.2700
   -0.750     0.000  -0.056365   0.000150   0.007952   0.008102   0.000000  -0.000000   0.010338  -0.000000  -0.000000   28.0000     0.2964
   -0.500     0.000  -0.035092   0.000062   0.007738   0.007800   0.000000  -0.000000   0.011263  -0.000000  -0.000000   28.0000     0.3549
   -0.250     0.000  -0.013817   0.000014   0.007501   0.007514  -0.000000  -0.000000   0.012188   0.000000   0.000000   28.0000     0.5938
    0.000     0.000   0.007458   0.000006   0.007238   0.007243  -0.000000   0.000000   0.013112   0.000000   0.000000   28.0000    -0.5299
    0.250     0.000   0.028734   0.000038   0.006967   0.007005  -0.000000   0.000000   0.014031   0.000000   0.000000   28.0000     0.0104
    0.500     0.000   0.050008   0.000110   0.006753   0.006863  -0.000000   0.000000   0.014944   0.000000   0.000000   28.0000     0.0910
    0.750     0.000   0.071280   0.000223   0.006702   0.006925  -0.000000   0.000000   0.015853   0.000000   0.000000   28.0000     0.1235
    1.000     0.000   0.092549   0.000375   0.006697   0.007073  -0.000000   0.000000   0.016758   0.000000   0.000000   28.0000     0.1411
    1.250     0.000   0.113814   0.000568   0.006710   0.007278  -0.000000   0.000000   0.017662   0.000000   0.000000   28.0000     0.1521
    1.500     0.000   0.135074   0.000801   0.006733   0.007533  -0.000000   0.000000   0.018564   0.000000   0.000000   28.0000     0.1596
    1.750     0.000   0.156328   0.001073   0.006767   0.007840  -0.000000   0.000000   0.019462   0.000000   0.000000   28.0000     0.1651
    2.000     0.000   0.177575   0.001386   0.006804   0.008190  -0.000000   0.000000   0.020356   0.000000   0.000000   28.0000     0.1693
    2.250     0.000   0.198815   0.001738   0.006839   0.008577  -0.000000   0.000000   0.021248   0.000000   0.000000   28.0000     0.1726
    2.500     0.000   0.220046   0.002130   0.006877   0.009007  -0.000000   0.000000   0.022137   0.000000   0.000000   28.0000     0.1752
    2.750     0.000   0.241268   0.002562   0.006929   0.009490  -0.000000   0.000000   0.023024   0.000000   0.000000   28.0000     0.1774
    3.000     0.000   0.262479   0.003033   0.006998   0.010031  -0.000000   0.000000   0.023908   0.000000   0.000000   28.0000     0.1793
    3.250     0.000   0.283679   0.003544   0.007060   0.010604  -0.000000   0.000000   0.024789   0.000000   0.000000   28.0000     0.1808
    3.500     0.000   0.304867   0.004094   0.007126   0.011220  -0.000000   0.000000   0.025666   0.000000   0.000000   28.0000     0.1822
    3.750     0.000   0.326041   0.004684   0.007207   0.011891  -0.000000   0.000000   0.026539   0.000000   0.000000   28.0000     0.1834
    4.000     0.000   0.347201   0.005313   0.007292   0.012605  -0.000000   0.000000   0.027409   0.000000   0.000000   28.0000     0.1844
    4.250     0.000   0.368346   0.005981   0.007369   0.013350  -0.000000   0.000000   0.028276   0.000000   0.000000   28.0000     0.1853
    4.500     0.000   0.389476   0.006688   0.007459   0.014147  -0.000000   0.000000   0.029140   0.000000   0.000000   28.0000     0.1862
    4.750     0.000   0.410588   0.007434   0.007568   0.015002  -0.000000   0.000000   0.030001   0.000000   0.000000   28.0000     0.1869
    5.000     0.000   0.431682   0.008218   0.007676   0.015895  -0.000000   0.000000   0.030858   0.000000   0.000000   28.0000     0.1876
    5.250     0.000   0.452758   0.009041   0.007794   0.016836  -0.000000   0.000000   0.031712   0.000000   0.000000   28.0000     0.1882
    5.500     0.000   0.473814   0.009903   0.007927   0.017830  -0.000000   0.000000   0.032561   0.000000   0.000000   28.0000     0.1888
    5.750     0.000   0.494850   0.010803   0.008049   0.018852  -0.000000   0.000000   0.033407   0.000000   0.000000   28.0000     0.1893
    6.000     0.000   0.515864   0.011740   0.008185   0.019926  -0.000000   0.000000   0.034248   0.000000   0.000000   28.0000     0.1898
    6.250     0.000   0.536856   0.012716   0.008332   0.021048  -0.000000   0.000000   0.035085   0.000000   0.000000   28.0000     0.1903
    6.500     0.000   0.557825   0.013729   0.008480   0.022209  -0.000000   0.000000   0.035916   0.000000   0.000000   28.0000     0.1907
    6.750     0.000   0.578770   0.014780   0.008626   0.023407  -0.000000   0.000000   0.036741   0.000000   0.000000   28.0000     0.1911
    7.000     0.000   0.599689   0.015869   0.008785   0.024653  -0.000000   0.000000   0.037560   0.000000   0.000000   28.0000     0.1915
    7.250     0.000   0.620583   0.016994   0.008926   0.025920  -0.000000   0.000000   0.038374   0.000000   0.000000   28.0000     0.1918
    7.500     0.000   0.641450   0.018156   0.009087   0.027243  -0.000000   0.000000   0.039184   0.000000   0.000000   28.0000     0.1922
    7.750     0.000   0.662289   0.019355   0.009245   0.028600  -0.000000   0.000000   0.039989   0.000000   0.000000   28.0000     0.1925
    8.000     0.000   0.683100   0.020590   0.009404   0.029994  -0.000000   0.000000   0.040790   0.000000   0.000000   28.0000     0.1928
    8.250     0.000   0.703881   0.021862   0.009584   0.031445  -0.000000   0.000000   0.041586   0.000000   0.000000   28.0000     0.1931
    8.500     0.000   0.724632   0.023169   0.009752   0.032921  -0.000000   0.000000   0.042378   0.000000   0.000000   28.0000     0.1934
    8.750     0.000   0.745352   0.024512   0.009950   0.034462  -0.000000   0.000000   0.043166   0.000000   0.000000   28.0000     0.1936
    9.000     0.000   0.766040   0.025891   0.010187   0.036078  -0.000000   0.000000   0.043950   0.000000   0.000000   28.0000     0.1939
    9.250     0.000   0.786695   0.027305   0.010432   0.037736  -0.000000   0.000000   0.044729   0.000000   0.000000   28.0000     0.1941
    9.500     0.000   0.807317   0.028753   0.010648   0.039401  -0.000000   0.000000   0.045503   0.000000   0.000000   28.0000     0.1944
    9.750     0.000   0.827903   0.030237   0.010911   0.041148  -0.000000   0.000000   0.046273   0.000000   0.000000   28.0000     0.1946
   10.000     0.000   0.848454   0.031754   0.011228   0.042982  -0.000000   0.000000   0.047040   0.000000   0.000000   28.0000     0.1948
   10.250     0.000   0.868969   0.033306   0.011570   0.044876  -0.000000   0.000000   0.047802   0.000000   0.000000   28.0000     0.1951
   10.500     0.000   0.889447   0.034892   0.011913   0.046805  -0.000000   0.000000   0.048560   0.000000   0.000000   28.0000     0.1953
   10.750     0.000   0.909887   0.036511   0.012236   0.048747  -0.000000   0.000000   0.049312   0.000000   0.000000   28.0000     0.1955
   11.000     0.000   0.930288   0.038163   0.012581   0.050744  -0.000000   0.000000   0.050058   0.000000   0.000000   28.0000     0.1957
   11.250     0.000   0.950649   0.039848   0.012942   0.052790  -0.000000   0.000000   0.050800   0.000000   0.000000   28.0000     0.1959
   11.500     0.000   0.970970   0.041566   0.013303   0.054869  -0.000000   0.000000   0.051536   0.000000   0.000000   28.0000     0.1961
   11.750     0.000   0.991250   0.043315   0.013678   0.056993  -0.000000   0.000000   0.052266   0.000000   0.000000   28.0000     0.1963
   12.000     0.000   1.011487   0.045097   0.014076   0.059173  -0.000000   0.000000   0.052991   0.000000   0.000000   28.0000     0.1965
   12.250     0.000   1.031682   0.046910   0.014492   0.061402  -0.000000   0.000000   0.053709   0.000000   0.000000   28.0000     0.1967
   12.500     0.000   1.051832   0.048754   0.014919   0.063674  -0.000000   0.000000   0.054422   0.000000   0.000000   28.0000     0.1968
   12.750     0.000   1.071939   0.050630   0.015358   0.065987  -0.000000   0.000000   0.055129   0.000000   0.000000   28.0000     0.1970
   13.000     0.000   1.092000   0.052535   0.015791   0.068327  -0.000000   0.000000   0.055829   0.000000   0.000000   28.0000     0.1972
   13.250     0.000   1.112015   0.054471   0.016375   0.070846  -0.000000   0.000000   0.056528   0.000000   0.000000   28.0000     0.1974
   13.500     0.000   1.131983   0.056436   0.016964   0.073401  -0.000000   0.000000   0.057220   0.000000   0.000000   28.0000     0.1976
   13.750     0.000   1.151903   0.058431   0.017542   0.075973  -0.000000   0.000000   0.057908   0.000000   0.000000   28.0000     0.1977
   14.000     0.000   1.171775   0.060455   0.018127   0.078582  -0.000000   0.000000   0.058591   0.000000   0.000000   28.0000     0.1979
   14.250     0.000   1.191597   0.062507   0.018739   0.081246  -0.000000   0.000000   0.059270   0.000000   0.000000   28.0000     0.1981
   14.500     0.000   1.211370   0.064588   0.019369   0.083957  -0.000000   0.000000   0.059944   0.000000   0.000000   28.0000     0.1982
   14.750     0.000   1.231092   0.066696   0.020128   0.086824  -0.000000   0.000000   0.060616   0.000000   0.000000   28.0000     0.1984
   15.000     0.000   1.250762   0.068832   0.021151   0.089983  -0.000000   0.000000   0.061294   0.000000   0.000000   28.0000     0.1986


