     CD       T1-22.3 m/s-VLM2    
   0.01827336        -0.3924395  
   0.01734614        -0.3724622  
    0.0164724        -0.3524695  
   0.01558719        -0.3324621  
   0.01463212        -0.3124409  
   0.01369335        -0.2924067  
   0.01281032        -0.2723603  
   0.01204885        -0.2523025  
   0.01136517        -0.2322343  
   0.01075872        -0.2121563  
   0.01018056        -0.1920695  
  0.009639836        -0.1719746  
  0.009151327        -0.1518726  
  0.008696337        -0.1317641  
  0.008248573        -0.1116502  
  0.007814414       -0.09153149  
  0.007415657       -0.07140894  
  0.007057669       -0.05128334  
  0.006732674       -0.03115554  
  0.006468801       -0.01102638  
   0.00625676       0.009103328  
  0.006101968        0.02923273  
  0.006123522          0.049361  
  0.006193893        0.06948731  
   0.00630129         0.0896108  
  0.006445411         0.1097307  
   0.00665789         0.1298461  
   0.00691522         0.1499561  
  0.007205469         0.1700601  
  0.007532054         0.1901571  
  0.007906472         0.2102462  
  0.008316468         0.2303268  
  0.008768933         0.2503979  
  0.009259791         0.2704587  
  0.009790429         0.2905083  
   0.01035822         0.3105461  
   0.01095955          0.330571  
    0.0115971         0.3505824  
   0.01228121         0.3705794  
   0.01300341         0.3905611  
   0.01376538         0.4105268  
   0.01456871         0.4304756  
    0.0154095         0.4504068  
   0.01629132         0.4703194  
   0.01721148         0.4902127  
    0.0181636         0.5100859  
   0.01914474         0.5299382  
   0.02016141         0.5497688  
   0.02121633         0.5695769  
   0.02231241         0.5893616  
   0.02344313         0.6091222  
    0.0246157         0.6288578  
   0.02582701         0.6485678  
   0.02707214         0.6682513  
   0.02836462         0.6879075  
   0.02969126         0.7075356  
   0.03105423         0.7271349  
    0.0324607         0.7467045  
   0.03389947         0.7662438  
   0.03538964         0.7857519  
   0.03692352         0.8052281  
   0.03849265         0.8246716  
   0.04014815         0.8440816  
   0.04184422         0.8634575  
   0.04360515         0.8827983  
   0.04546132         0.9021035  
    0.0473495         0.9213722  
   0.04922069         0.9406038  
   0.05110487         0.9597974  
   0.05304361         0.9789523  
   0.05503845         0.9980679  
   0.05707059          1.017143  
   0.05914759          1.036178  
   0.06127923          1.055171  
   0.06343616          1.074122  
   0.06564871           1.09303  
   0.06795725          1.111894  
   0.07040378          1.130714  
   0.07307894          1.149489  

