     Vx (m/s)       T4-5.3°-VLM2    
     13.98838        -0.0652027  
     14.98794       -0.06519487  
     15.98749        -0.0651879  
     16.98704        -0.0651818  
     17.98659       -0.06517634  
     18.98614       -0.06517133  
     19.98569        -0.0651667  
     20.98525       -0.06516245  
     21.98481       -0.06515851  
     22.98436       -0.06515492  
     23.98393       -0.06515162  
     24.98349       -0.06514855  
     25.98304       -0.06514575  
     26.98259        -0.0651431  
     27.98215       -0.06514062  

