     Alpha       T1-28.0 m/s-VLM2    
           -5        0.08087979  
        -4.75        0.07737412  
         -4.5        0.07386371  
        -4.25         0.0703485  
           -4        0.06682848  
        -3.75        0.06330333  
         -3.5        0.05977397  
        -3.25        0.05624112  
           -3        0.05270492  
        -2.75        0.04916554  
         -2.5        0.04562313  
        -2.25        0.04207773  
           -2        0.03852966  
        -1.75        0.03497917  
         -1.5        0.03142649  
        -1.25        0.02787188  
           -1        0.02431572  
        -0.75        0.02075827  
         -0.5        0.01719982  
        -0.25        0.01364059  
            0        0.01008078  
         0.25       0.006520638  
          0.5       0.002959813  
         0.75     -0.0006010661  
            1      -0.004161713  
         1.25      -0.007722267  
          1.5       -0.01128255  
         1.75         -0.014842  
            2        -0.0184003  
         2.25       -0.02195721  
          2.5       -0.02551247  
         2.75       -0.02906575  
            3       -0.03261691  
         3.25       -0.03616564  
          3.5       -0.03971166  
         3.75       -0.04325479  
            4       -0.04679472  
         4.25       -0.05033126  
          4.5       -0.05386397  
         4.75       -0.05739269  
            5       -0.06091723  
         5.25       -0.06443719  
          5.5        -0.0679524  
         5.75       -0.07146261  
            6       -0.07496751  
         6.25        -0.0784669  
          6.5       -0.08196044  
         6.75       -0.08544808  
            7       -0.08892946  
         7.25       -0.09240436  
          7.5       -0.09587261  
         7.75       -0.09933379  
            8        -0.1027879  
         8.25        -0.1062345  
          8.5        -0.1096734  
         8.75        -0.1131045  
            9        -0.1165274  
         9.25        -0.1199424  
          9.5        -0.1233489  
         9.75         -0.126747  
           10        -0.1301371  
        10.25        -0.1335186  
         10.5        -0.1368924  
        10.75        -0.1402569  
           11        -0.1436113  
        11.25        -0.1469552  
         11.5        -0.1502886  
        11.75        -0.1536118  
           12        -0.1569238  
        12.25         -0.160225  
         12.5        -0.1635152  
        12.75        -0.1667941  
           13        -0.1700614  
        13.25        -0.1733175  
         13.5        -0.1765657  
        13.75        -0.1798038  
           14        -0.1830322  
        14.25        -0.1862498  
         14.5        -0.1894568  
        14.75        -0.1926571  
           15        -0.1958656  

