     Vx (m/s)       T4-5.3°-VLM2    
     13.98838          2.106242  
     14.98794          2.379741  
     15.98749          2.669415  
     16.98704          2.975873  
     17.98659          3.298549  
     18.98614          3.636514  
     19.98569          3.989632  
     20.98525          4.358754  
     21.98481          4.743066  
     22.98436          5.143687  
     23.98393          5.558613  
     24.98349          5.989999  
     25.98304          6.438003  
     26.98259          6.901992  
     27.98215          7.381134  

