     Alpha       T1-28.0 m/s-VLM2    
           -5          9.176291  
        -4.75          8.726637  
         -4.5          8.294831  
        -4.25          7.895803  
           -4          7.504223  
        -3.75          7.110841  
         -3.5          6.724525  
        -3.25          6.360692  
           -3          6.031417  
        -2.75            5.7394  
         -2.5          5.476836  
        -2.25          5.228716  
           -2          4.997739  
        -1.75          4.786741  
         -1.5          4.592969  
        -1.25          4.409515  
           -1          4.239801  
        -0.75          4.078795  
         -0.5          3.933609  
        -0.25          3.812185  
            0           3.70992  
         0.25          3.625569  
          0.5           3.59395  
         0.75          3.579714  
            1          3.581446  
         1.25          3.621793  
          1.5          3.702666  
         1.75          3.805968  
            2          3.929939  
         2.25          4.072707  
          2.5          4.233911  
         2.75          4.413972  
            3          4.615704  
         3.25           4.83648  
          3.5          5.077741  
         3.75          5.338556  
            4          5.617805  
         4.25          5.917052  
          4.5          6.236899  
         4.75          6.574553  
            5          6.931471  
         5.25          7.304369  
          5.5          7.695072  
         5.75           8.10331  
            6          8.528325  
         6.25          8.971612  
          6.5          9.431198  
         6.75          9.908876  
            7          10.40435  
         7.25          10.91776  
          7.5           11.4489  
         7.75          11.99613  
            8          12.56191  
         8.25          13.14592  
          8.5          13.74684  
         8.75          14.36692  
            9          15.00402  
         9.25          15.66196  
          9.5          16.33957  
         9.75            17.039  
           10          17.76143  
        10.25          18.50975  
         10.5          19.28766  
        10.75          20.08503  
           11          20.89714  
        11.25           21.7258  
         11.5          22.56938  
        11.75          23.43336  
           12          24.30881  
        12.25          25.19923  
         12.5          26.10655  
        12.75          27.03436  
           13           27.9809  
        13.25          28.94814  
         13.5          29.95061  
        13.75          30.97643  
           14          32.03674  
        14.25          33.11871  
         14.5          34.23003  
        14.75          35.38533  
           15          36.64766  

