     Vx (m/s)       T4-5.3°-VLM2    
     13.98838          51.65559  
     14.98794          59.29851  
     15.98749          67.46853  
     16.98704          76.16565  
     17.98659          85.38986  
     18.98614          95.14117  
     19.98569          105.4196  
     20.98525          116.2251  
     21.98481          127.5577  
     22.98436          139.4174  
     23.98393          151.8042  
     24.98349          164.7181  
     25.98304          178.1591  
     26.98259          192.1272  
     27.98215          206.6224  

