     Alpha       T1-28.0 m/s-VLM2    
           -5      3.868812e-15  
        -4.75      4.057989e-15  
         -4.5      4.077827e-15  
        -4.25      4.398126e-15  
           -4         4.468e-15  
        -3.75      4.631807e-15  
         -3.5      4.700465e-15  
        -3.25      4.576799e-15  
           -3      4.600753e-15  
        -2.75      4.574732e-15  
         -2.5      4.527383e-15  
        -2.25      4.336997e-15  
           -2      4.153235e-15  
        -1.75       3.99801e-15  
         -1.5      3.772697e-15  
        -1.25      3.525467e-15  
           -1      3.222506e-15  
        -0.75      2.880801e-15  
         -0.5      2.510543e-15  
        -0.25      2.099326e-15  
            0      1.654392e-15  
         0.25      1.174719e-15  
          0.5      6.606326e-16  
         0.75       1.10551e-16  
            1     -4.819114e-16  
         1.25     -1.086597e-15  
          1.5       -1.7601e-15  
         1.75     -2.451193e-15  
            2     -3.190973e-15  
         2.25     -3.916315e-15  
          2.5     -4.809555e-15  
         2.75     -5.552013e-15  
            3     -6.387477e-15  
         3.25     -7.290453e-15  
          3.5     -8.391962e-15  
         3.75     -9.313403e-15  
            4     -1.027176e-14  
         4.25     -1.141083e-14  
          4.5     -1.233114e-14  
         4.75     -1.359293e-14  
            5      -1.45836e-14  
         5.25     -1.575431e-14  
          5.5     -1.699788e-14  
         5.75     -1.822882e-14  
            6     -1.944807e-14  
         6.25     -2.081695e-14  
          6.5     -2.197351e-14  
         6.75     -2.308876e-14  
            7     -2.475452e-14  
         7.25     -2.619081e-14  
          7.5     -2.742314e-14  
         7.75     -2.963761e-14  
            8     -3.055621e-14  
         8.25     -3.272842e-14  
          8.5      -3.40006e-14  
         8.75     -3.549568e-14  
            9     -3.750039e-14  
         9.25     -3.978749e-14  
          9.5     -4.061034e-14  
         9.75     -4.252325e-14  
           10     -4.545239e-14  
        10.25     -4.610428e-14  
         10.5     -4.848222e-14  
        10.75     -5.074657e-14  
           11     -5.157733e-14  
        11.25      -5.26885e-14  
         11.5     -5.577975e-14  
        11.75     -5.864525e-14  
           12     -5.832474e-14  
        12.25     -6.290909e-14  
         12.5     -6.458048e-14  
        12.75      -6.56508e-14  
           13     -6.798668e-14  
        13.25     -7.094657e-14  
         13.5      -7.37339e-14  
        13.75     -7.470701e-14  
           14     -7.695464e-14  
        14.25     -7.867239e-14  
         14.5     -8.153777e-14  
        14.75     -8.484992e-14  
           15     -8.886505e-14  

