     Beta       T5-a5.3°-28.0m/s-VLM2    
            0      8.124186e-14  
         0.25        -0.1665196  
          0.5        -0.3330144  
         0.75        -0.4994594  
            1        -0.6658298  
         1.25        -0.8321008  
          1.5        -0.9982476  
         1.75         -1.164245  
            2         -1.330069  
         2.25         -1.495694  
          2.5         -1.661096  
         2.75          -1.82625  
            3         -1.991132  
         3.25         -2.155716  
          3.5         -2.319978  
         3.75         -2.483895  
            4         -2.647441  
         4.25         -2.810592  
          4.5         -2.973323  
         4.75         -3.135612  
            5         -3.297432  
         5.25         -3.458762  
          5.5         -3.619576  

