     Beta       T5-a5.3°-28.0m/s-VLM2    
            0       8.60075e-15  
         0.25         0.2855095  
          0.5         0.5709868  
         0.75         0.8564118  
            1          1.141763  
         1.25          1.427018  
          1.5          1.712161  
         1.75          1.997174  
            2          2.282036  
         2.25          2.566719  
          2.5          2.851201  
         2.75           3.13546  
            3          3.419478  
         3.25          3.703234  
          3.5          3.986696  
         3.75          4.269844  
            4          4.552636  
         4.25          4.835035  
          4.5           5.11701  
         4.75          5.398507  
            5          5.679488  
         5.25          5.959874  
          5.5          6.239396  

