xflr5 v6.47

Plane name :        SAVED V1
Polar name :        T1-28.0 m/s-VLM2
Freestream speed :  28.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.250     0.000  -0.391853   0.007865   0.010864   0.018729   0.000000   0.000000   0.089013   0.000000  -0.000000   28.0000     0.4394
   -4.000     0.000  -0.372789   0.007152   0.010588   0.017740   0.000000   0.000000   0.085830   0.000000  -0.000000   28.0000     0.4408
   -3.750     0.000  -0.353709   0.006474   0.010302   0.016775   0.000000   0.000000   0.082638   0.000000  -0.000000   28.0000     0.4424
   -3.500     0.000  -0.334615   0.005830   0.010012   0.015842   0.000000   0.000000   0.079438   0.000000   0.000000   28.0000     0.4441
   -3.250     0.000  -0.315506   0.005221   0.009727   0.014948   0.000000   0.000000   0.076228   0.000000   0.000000   28.0000     0.4461
   -3.000     0.000  -0.296385   0.004647   0.009460   0.014107   0.000000   0.000000   0.073009   0.000000   0.000000   28.0000     0.4484
   -2.750     0.000  -0.277251   0.004109   0.009201   0.013309   0.000000   0.000000   0.069781   0.000000   0.000000   28.0000     0.4510
   -2.500     0.000  -0.258107   0.003605   0.008938   0.012543   0.000000   0.000000   0.066543   0.000000   0.000000   28.0000     0.4539
   -2.250     0.000  -0.238951   0.003136   0.008653   0.011790   0.000000   0.000000   0.063294   0.000000   0.000000   28.0000     0.4574
   -2.000     0.000  -0.219786   0.002703   0.008372   0.011075   0.000000   0.000000   0.060037   0.000000   0.000000   28.0000     0.4614
   -1.750     0.000  -0.200612   0.002306   0.008124   0.010429   0.000000   0.000000   0.056774   0.000000   0.000000   28.0000     0.4663
   -1.500     0.000  -0.181429   0.001943   0.007933   0.009876   0.000000   0.000000   0.053507   0.000000   0.000000   28.0000     0.4722
   -1.250     0.000  -0.162240   0.001616   0.007757   0.009374   0.000000  -0.000000   0.050234   0.000000   0.000000   28.0000     0.4795
   -1.000     0.000  -0.143044   0.001325   0.007581   0.008906   0.000000  -0.000000   0.046954   0.000000   0.000000   28.0000     0.4887
   -0.750     0.000  -0.123843   0.001069   0.007402   0.008472   0.000000  -0.000000   0.043666   0.000000   0.000000   28.0000     0.5009
   -0.500     0.000  -0.104637   0.000849   0.007224   0.008074  -0.000000  -0.000000   0.040371   0.000000   0.000000   28.0000     0.5175
   -0.250     0.000  -0.085426   0.000665   0.007039   0.007704  -0.000000  -0.000000   0.037070   0.000000   0.000000   28.0000     0.5416
    0.000     0.000  -0.066213   0.000516   0.006845   0.007361  -0.000000  -0.000000   0.033763   0.000000   0.000000   28.0000     0.5797
    0.250     0.000  -0.046998   0.000403   0.006643   0.007046  -0.000000  -0.000000   0.030449   0.000000   0.000000   28.0000     0.6490
    0.500     0.000  -0.027781   0.000326   0.006442   0.006768  -0.000000  -0.000000   0.027129   0.000000   0.000000   28.0000     0.8141
    0.750     0.000  -0.008564   0.000285   0.006239   0.006524  -0.000000  -0.000000   0.023804   0.000000   0.000000   28.0000     1.7203
    1.000     0.000   0.010654   0.000279   0.006023   0.006301  -0.000000  -0.000000   0.020474  -0.000000   0.000000   28.0000    -0.6427
    1.250     0.000   0.029870   0.000309   0.005789   0.006098  -0.000000  -0.000000   0.017138  -0.000000   0.000000   28.0000     0.0348
    1.500     0.000   0.049084   0.000374   0.005579   0.005954  -0.000000  -0.000000   0.013799   0.000000   0.000000   28.0000     0.1818
    1.750     0.000   0.068295   0.000476   0.005451   0.005927  -0.000000  -0.000000   0.010456   0.000000   0.000000   28.0000     0.2461
    2.000     0.000   0.087503   0.000613   0.005398   0.006011  -0.000000  -0.000000   0.007110   0.000000   0.000000   28.0000     0.2822
    2.250     0.000   0.106706   0.000785   0.005371   0.006156  -0.000000  -0.000000   0.003761   0.000000   0.000000   28.0000     0.3053
    2.500     0.000   0.125905   0.000994   0.005355   0.006348  -0.000000  -0.000000   0.000407   0.000000   0.000000   28.0000     0.3214
    2.750     0.000   0.145097   0.001237   0.005357   0.006594  -0.000000  -0.000000  -0.002949   0.000000   0.000000   28.0000     0.3332
    3.000     0.000   0.164282   0.001516   0.005383   0.006900  -0.000000  -0.000000  -0.006310   0.000000   0.000000   28.0000     0.3423
    3.250     0.000   0.183459   0.001831   0.005409   0.007240  -0.000000  -0.000000  -0.009674   0.000000   0.000000   28.0000     0.3494
    3.500     0.000   0.202628   0.002181   0.005437   0.007618  -0.000000  -0.000000  -0.013041   0.000000   0.000000   28.0000     0.3553
    3.750     0.000   0.221788   0.002566   0.005467   0.008034  -0.000000  -0.000000  -0.016410   0.000000   0.000000   28.0000     0.3601
    4.000     0.000   0.240937   0.002987   0.005509   0.008496  -0.000000  -0.000000  -0.019782   0.000000   0.000000   28.0000     0.3642
    4.250     0.000   0.260075   0.003442   0.005557   0.008999  -0.000000  -0.000000  -0.023156   0.000000   0.000000   28.0000     0.3677
    4.500     0.000   0.279201   0.003932   0.005607   0.009540  -0.000000  -0.000000  -0.026532   0.000000   0.000000   28.0000     0.3707
    4.750     0.000   0.298315   0.004458   0.005661   0.010119  -0.000000  -0.000000  -0.029910   0.000000   0.000000   28.0000     0.3733
    5.000     0.000   0.317415   0.005018   0.005717   0.010735  -0.000000  -0.000000  -0.033290   0.000000   0.000000   28.0000     0.3756
    5.250     0.000   0.336501   0.005613   0.005776   0.011389  -0.000000  -0.000000  -0.036671   0.000000   0.000000   28.0000     0.3777
    5.500     0.000   0.355571   0.006242   0.005841   0.012083  -0.000000  -0.000000  -0.040052   0.000000   0.000000   28.0000     0.3796
    5.750     0.000   0.374626   0.006906   0.005909   0.012815  -0.000000  -0.000000  -0.043435   0.000000   0.000000   28.0000     0.3813
    6.000     0.000   0.393664   0.007604   0.005980   0.013584  -0.000000  -0.000000  -0.046818   0.000000   0.000000   28.0000     0.3828
    6.250     0.000   0.412684   0.008336   0.006060   0.014396  -0.000000  -0.000000  -0.050202   0.000000   0.000000   28.0000     0.3842
    6.500     0.000   0.431686   0.009102   0.006144   0.015246  -0.000000  -0.000000  -0.053585   0.000000   0.000000   28.0000     0.3855
    6.750     0.000   0.450669   0.009902   0.006232   0.016134  -0.000000  -0.000000  -0.056968   0.000000   0.000000   28.0000     0.3866
    7.000     0.000   0.469631   0.010736   0.006322   0.017058  -0.000000  -0.000000  -0.060351   0.000000   0.000000   28.0000     0.3877
    7.250     0.000   0.488573   0.011603   0.006414   0.018017  -0.000000  -0.000000  -0.063733   0.000000   0.000000   28.0000     0.3888
    7.500     0.000   0.507493   0.012504   0.006511   0.019015  -0.000000  -0.000000  -0.067114   0.000000   0.000000   28.0000     0.3897
